"pointid","xcoord","ycoord"
572,406935.617053464,4464757.31295745
573,406294.617100625,4464826.31295237
574,406279.617101729,4464964.31294222
575,407158.617037057,4465179.3129264
576,405860.617132557,4465219.31292346
577,406566.617080613,4465595.31289579
578,406915.617054936,4466454.31283259
579,406111.61711409,4466453.31283267
580,406494.617085911,4466626.31281994
581,404768.6172129,4465880.31287483
582,404990.617196566,4465962.31286879
583,404948.617199656,4465984.31286717
584,405157.617184279,4466537.31282649
585,410713.6167755,4460506.31327021
586,410695.616776825,4460326.31328346
587,410307.616805372,4460556.31326654
588,410156.616816481,4460505.31327029
589,410524.616789406,4460786.31324961
590,410586.616784844,4461219.31321776
591,409461.616867615,4462222.31314396
592,409774.616844587,4462483.31312476
593,410119.616819204,4462281.31313962
594,410041.616824942,4462522.31312189
595,410033.616825531,4462648.31311262
596,409533.616862318,4462770.31310364
597,410345.616802576,4462751.31310504
598,410144.616817364,4462776.3131032
599,409366.616874605,4462876.31309584
600,409405.616871736,4462777.31310313
601,409203.616886598,4461513.31319612
602,408555.616934274,4461808.31317442
603,409018.616900209,4461778.31317663
604,408566.616933465,4462835.31309886
605,408871.616911024,4463210.31307127
606,408388.616946561,4463252.31306818
607,410431.616796248,4462517.31312226
608,410440.616795586,4462685.3131099
609,410676.616778223,4462752.31310497
610,410351.616802134,4462775.31310327
611,410531.616788891,4462832.31309908
612,410350.616802208,4462958.31308981
613,409488.616865629,4463003.3130865
614,409437.616869381,4463230.3130698
615,409628.616855329,4463342.31306156
616,409201.616886745,4463424.31305552
617,409671.616852165,4463338.31306185
618,409579.616858934,4463495.3130503
619,409199.616886892,4463962.31301594
620,409688.616850914,4463724.31303345
621,409949.616831711,4463966.31301565
622,409796.616842968,4464421.31298217
623,408665.616926181,4463938.31301771
624,408732.616921251,4463972.31301521
625,408770.616918455,4464351.31298732
626,408984.61690271,4465530.31290058
627,408602.616930816,4464780.31295576
628,408528.61693626,4464844.31295105
629,409899.61683539,4464522.31297474
630,409732.616847677,4464974.31294148
631,409208.61688623,4465686.3128891
632,409146.616890791,4465682.31288939
633,409379.616873649,4465794.31288115
634,409450.616868425,4465848.31287718
635,409198.616886966,4466287.31284488
636,409119.616892778,4465657.31289123
637,409568.616859743,4466297.31284415
638,409468.6168671,4466417.31283532
639,409103.616893955,4466451.31283281
640,408563.616933685,4465099.31293229
641,408561.616933832,4465103.31293199
642,409089.616894985,4465361.31291301
643,408985.616902637,4465557.31289859
644,408583.616932214,4466323.31284223
